Numero_pendiente,IdUsuario,Medicamento,Enfermedad,fecha_inicio,fecha_fin,periocidad_en_dias,nota
6874,1,Ibuprofeno,Gripe,2024-02-22,2024-03-03,2,"Tratamiento en curso, seguir protocolo."
3599,1,Paracetamol,Mastitis,2024-04-20,2024-04-29,3,"La vaca muestra buen apetito, signo positivo."
1705,1,Amoxicilina,Cólico,2024-03-10,2024-03-17,6,"Inicio leve, se observa mejoría con el tratamiento."
3599,1,Paracetamol,Mastitis,2024-02-08,2024-03-07,5,Mantener en observación por posibles recaídas.
5373,1,Ibuprofeno,Mastitis,2024-03-05,2024-03-18,3,"La vaca muestra buen apetito, signo positivo."
8891,1,Ibuprofeno,Cólico,2024-03-04,2024-03-17,7,Mantener en observación por posibles recaídas.
3732,1,Paracetamol,Cólico,2024-04-13,2024-05-04,5,"La vaca muestra buen apetito, signo positivo."
8891,1,Amoxicilina,Gripe,2024-03-11,2024-03-23,2,Mantener en observación por posibles recaídas.
6874,1,Paracetamol,Gripe,2024-02-04,2024-02-17,1,"Tratamiento en curso, seguir protocolo."
3732,1,Ibuprofeno,Mastitis,2024-01-23,2024-02-21,8,
5859,1,Ibuprofeno,Mastitis,2024-02-21,2024-03-20,9,
8891,1,Amoxicilina,Gripe,2024-02-01,2024-02-26,3,"La vaca muestra buen apetito, signo positivo."
1705,1,Ibuprofeno,Mastitis,2024-02-21,2024-03-19,9,Mantener en observación por posibles recaídas.
4264,1,Amoxicilina,Mastitis,2024-03-19,2024-04-02,6,"La vaca muestra buen apetito, signo positivo."
8891,1,Amoxicilina,Cólico,2024-01-29,2024-02-09,4,"Tratamiento en curso, seguir protocolo."
8891,1,Amoxicilina,Mastitis,2024-03-26,2024-04-24,3,
8891,1,Ibuprofeno,Cólico,2024-02-24,2024-03-14,3,Mantener en observación por posibles recaídas.
4468,1,Paracetamol,Gripe,2024-01-17,2024-02-10,7,Mantener en observación por posibles recaídas.
3732,1,Paracetamol,Mastitis,2024-01-25,2024-02-06,9,"Tratamiento en curso, seguir protocolo."
4264,1,Ibuprofeno,Cólico,2024-02-09,2024-03-09,2,
3599,1,Paracetamol,Cólico,2024-04-22,2024-05-17,5,Mantener en observación por posibles recaídas.
3599,1,Paracetamol,Cólico,2024-04-02,2024-04-25,2,
3732,1,Ibuprofeno,Cólico,2024-03-29,2024-04-06,4,"Inicio leve, se observa mejoría con el tratamiento."
5373,1,Paracetamol,Mastitis,2024-04-13,2024-04-18,8,"La vaca muestra buen apetito, signo positivo."
4468,1,Ibuprofeno,Gripe,2024-03-13,2024-04-07,4,"Tratamiento en curso, seguir protocolo."
8891,1,Amoxicilina,Cólico,2024-04-10,2024-05-09,1,Mantener en observación por posibles recaídas.
5859,1,Amoxicilina,Gripe,2024-03-03,2024-03-08,8,"Inicio leve, se observa mejoría con el tratamiento."
4468,1,Paracetamol,Cólico,2024-02-17,2024-03-05,4,Mantener en observación por posibles recaídas.
5859,1,Ibuprofeno,Cólico,2024-02-01,2024-02-10,1,"Inicio leve, se observa mejoría con el tratamiento."
3732,1,Amoxicilina,Cólico,2024-01-30,2024-02-22,9,"Inicio leve, se observa mejoría con el tratamiento."
3732,1,Ibuprofeno,Gripe,2024-04-16,2024-05-13,4,
5373,1,Ibuprofeno,Gripe,2024-03-14,2024-03-21,8,"Tratamiento en curso, seguir protocolo."
6874,1,Ibuprofeno,Gripe,2024-02-27,2024-03-21,5,Mantener en observación por posibles recaídas.
6874,1,Paracetamol,Mastitis,2024-01-29,2024-02-21,2,"La vaca muestra buen apetito, signo positivo."
7744,1,Amoxicilina,Gripe,2024-03-17,2024-04-05,7,"Tratamiento en curso, seguir protocolo."
1705,1,Paracetamol,Mastitis,2024-03-08,2024-03-20,5,"La vaca muestra buen apetito, signo positivo."
5373,1,Ibuprofeno,Mastitis,2024-01-31,2024-02-16,4,Mantener en observación por posibles recaídas.
4264,1,Amoxicilina,Gripe,2024-01-24,2024-02-08,7,Mantener en observación por posibles recaídas.
5373,1,Paracetamol,Cólico,2024-02-28,2024-03-10,7,"La vaca muestra buen apetito, signo positivo."
3599,1,Amoxicilina,Cólico,2024-04-17,2024-05-01,5,Mantener en observación por posibles recaídas.
1705,1,Paracetamol,Mastitis,2024-04-23,2024-05-20,3,"Inicio leve, se observa mejoría con el tratamiento."
4264,1,Ibuprofeno,Cólico,2024-04-15,2024-04-20,8,"Inicio leve, se observa mejoría con el tratamiento."
4264,1,Amoxicilina,Cólico,2024-01-29,2024-02-05,4,Mantener en observación por posibles recaídas.
4468,1,Ibuprofeno,Mastitis,2024-03-17,2024-04-08,2,
3599,1,Ibuprofeno,Gripe,2024-02-16,2024-03-02,1,Mantener en observación por posibles recaídas.
3599,1,Amoxicilina,Mastitis,2024-03-08,2024-04-02,7,Mantener en observación por posibles recaídas.
8891,1,Amoxicilina,Gripe,2024-03-13,2024-03-24,2,"La vaca muestra buen apetito, signo positivo."
7744,1,Paracetamol,Gripe,2024-01-22,2024-01-30,6,"Inicio leve, se observa mejoría con el tratamiento."
4468,1,Paracetamol,Mastitis,2024-02-20,2024-03-04,5,
5859,1,Ibuprofeno,Cólico,2024-02-26,2024-03-14,7,"Inicio leve, se observa mejoría con el tratamiento."
3732,1,Paracetamol,Gripe,2024-03-15,2024-03-27,4,
8891,1,Amoxicilina,Mastitis,2024-02-18,2024-03-15,2,"Tratamiento en curso, seguir protocolo."
6874,1,Amoxicilina,Mastitis,2024-03-03,2024-03-08,8,"Tratamiento en curso, seguir protocolo."
3599,1,Amoxicilina,Mastitis,2024-02-22,2024-03-09,8,
5373,1,Ibuprofeno,Gripe,2024-02-14,2024-02-21,9,Mantener en observación por posibles recaídas.
5373,1,Paracetamol,Cólico,2024-02-25,2024-03-02,1,"Inicio leve, se observa mejoría con el tratamiento."
7744,1,Paracetamol,Cólico,2024-01-23,2024-02-13,1,"La vaca muestra buen apetito, signo positivo."
5373,1,Paracetamol,Mastitis,2024-01-19,2024-02-04,3,"Tratamiento en curso, seguir protocolo."
5373,1,Paracetamol,Gripe,2024-03-14,2024-03-24,7,"La vaca muestra buen apetito, signo positivo."
8891,1,Paracetamol,Cólico,2024-02-10,2024-02-29,2,Mantener en observación por posibles recaídas.
5373,1,Paracetamol,Mastitis,2024-03-01,2024-03-17,6,
5373,1,Paracetamol,Cólico,2024-04-16,2024-05-14,2,"La vaca muestra buen apetito, signo positivo."
1705,1,Ibuprofeno,Cólico,2024-03-07,2024-03-22,8,Mantener en observación por posibles recaídas.
5373,1,Paracetamol,Gripe,2024-02-14,2024-03-09,4,Mantener en observación por posibles recaídas.
8891,1,Paracetamol,Mastitis,2024-03-13,2024-03-22,4,"La vaca muestra buen apetito, signo positivo."
4468,1,Paracetamol,Cólico,2024-03-26,2024-04-20,3,"Inicio leve, se observa mejoría con el tratamiento."
6874,1,Ibuprofeno,Cólico,2024-01-29,2024-02-10,5,"Tratamiento en curso, seguir protocolo."
6874,1,Paracetamol,Gripe,2024-04-12,2024-04-18,6,"Tratamiento en curso, seguir protocolo."

